title,description,published_at,source,url,country
"מאות ק""מ מישראל: כוחות צה""ל השתלטו על המשט לעזה","טראמפ יתודרך היום על אפשרויות צבאיות חדשות נגד איראן ● פעילי המשט דיווחו: חלק גדול מהספינות חווה שיבוש באמצעי התקשורת ● משרד החוץ: זה ""הסיוע הרפואי"" שנמצא בסירות המשט - סמים וקונדומים ● הבקשה של ישראל מטראמפ: הגבלת ניסיונות המו""מ עם לבנון לעוד שבועיים בלבד ● עדכונים שוטפים",2026-04-30T02:48:48Z,גלובס,https://www.globes.co.il/news/article.aspx?did=1001541506,Nepal
"Flamengo confirma fratura na clavícula de Arrascaeta, que pode perder Copa",Titular da seleção do Uruguai se lesionou no primeiro tempo do jogo contra o Estudiantes,2026-04-30T02:48:41Z,CNN Brasil,https://www.cnnbrasil.com.br/esportes/futebol/flamengo/flamengo-confirma-fratura-na-clavicula-de-arrascaeta-que-pode-perder-copa/,Nepal
Crece la ola de elogios a Luis Díaz en toda Europa: todos hablan de él,El 28 de abril de 2026 no pasará a la historia del fútbol como un día cualquiera. Fue una de esas veladas que quedan tatuadas en la memoria del deport...,2026-04-30T02:47:42Z,El Colombiano,https://www.elcolombiano.com/deportes/futbol/luis-diaz-champions-elogios-prensa-europa-figuras-BE36011918,Nepal
"Flamengo confirma fratura no ombro de Arrascaeta, que vê Copa do Mundo mais longe",Arrascaeta fraturou a clavícula direita durante o jogo entre Flamengo e Estudiantes pela Libertadores,2026-04-30T02:47:00Z,ESPN Brasil,https://www.espn.com.br/futebol/flamengo/artigo/_/id/16646043/flamengo-confirma-fratura-ombro-arrascaeta-que-ve-copa-do-mundo-mais-longe,Nepal
Trat Cole Allen in einem Video mit Usha Vance auf?,"Ein Video, das Cole Tomas Allen bei einer Konferenzveranstaltung im Jahr 2017 zeigt, ist genauer unter die Lupe genommen worden.",2026-04-30T02:47:00Z,Merkur,https://www.merkur.de/politik/auf-faktencheck-trat-cole-allen-2017-in-einem-video-mit-usha-vance-zr-94283646.html,Nepal
ASEAN Foundation launches 'Scam Ready ASEAN' in response to rising online scams in Southeast Asia,"The ASEAN Foundation launched Scam Ready ASEAN, a regional initiative aimed at strengthening prevention against online scams across Southeast Asia. The...",2026-04-30T02:46:39Z,Manila Bulletin,https://mb.com.ph/2026/04/30/asean-foundation-launches-scam-ready-asean-in-response-to-rising-online-scams-in-southeast-asia,Nepal
'Melrose Place' Star Patrick Muldoon’s Cause of Death Revealed,'Melrose Place' star Patrick Muldoon died after suffering a heart attack.,2026-04-30T02:46:34Z,Rolling Stone,https://www.rollingstone.com/tv-movies/tv-movie-news/melrose-place-patrick-muldoons-cause-of-death-1235555943/,Nepal
Zohran Mamdani એ Kohinoor પરત કરવાની કરી માંગ,Zohran Mamdani Kohinoor :  ન્યૂયોર્ક શહેરના મેયર (Mayor) ઝોહરાન મમદાનીએ ફરી એકવાર સાબિત કરી દીધું છે કે ભલે તેઓ અમેરિકામાં સ્થાયી થયા...,2026-04-30T02:46:27Z,GujaratFirst,https://www.gujaratfirst.com/international/zohran-mamdani-demands-kohinoor-back-from-king-charles/300648/,Nepal
"रियान पराग इकलौते नहीं, ये क्रिकेटर्स भी LIVE मैच में कर चुके हैं स्मोकिंग",राजस्थान रॉयल्स के कप्तान रियान पाराग का ड्रेसिंग रूम में वेपिंग करते वीडियो वायरल होने के बाद विवाद खड़ा हो गया है. भारत में वेपिंग बैन होने के कारण उनके खिलाफ कार्रवाई की मांग उठ रही है. लेकिन ये इस तरह का पहला मामला नहीं है लेकिन पराग पर सख्त एक्शन हो सकता है.,2026-04-30T02:46:02Z,AajTak,https://www.aajtak.in/sports/cricket/story/riyan-parag-is-not-only-these-cricketers-also-smoked-during-live-matches-ipl-2026-aksp-dskc-2536895-2026-04-30,Nepal
"Arteta phẫn nộ Arsenal bị tước phạt đền, không thể thắng Atletico","Kết quả Atletico vs Arsenal HLV Arteta chỉ trích gay gắt trọng tài đã cho Arsenal hưởng 11m nhưng rút lại sau xem VAR, ở trận hòa 1-1 Atletico, bán kết lượt đi Cúp C1.",2026-04-30T02:46:00Z,Báo VietNamNet,https://vietnamnet.vn/ket-qua-atletico-vs-arsenal-arteta-phan-no-arsenal-bi-tuoc-phat-den-2511453.html,Nepal
